date,date_float,value
02-01-2020,2020.00274,1
03-01-2020,2020.005479,0.994548916
06-01-2020,2020.013699,0.999415593
07-01-2020,2020.016438,1.004152373
08-01-2020,2020.019178,1.002921845
09-01-2020,2020.021918,1.004308436
10-01-2020,2020.024658,1.002880369
13-01-2020,2020.032877,1.006259972
14-01-2020,2020.035616,1.006481183
15-01-2020,2020.038356,0.995183903
16-01-2020,2020.041096,0.993284345
17-01-2020,2020.043836,0.993924483
21-01-2020,2020.054795,0.990057123
22-01-2020,2020.057534,0.987446972
23-01-2020,2020.060274,0.991989486
24-01-2020,2020.063014,0.993278569
27-01-2020,2020.071233,0.983195187
28-01-2020,2020.073973,0.98945906
29-01-2020,2020.076712,0.990489237
30-01-2020,2020.079452,0.984635362
31-01-2020,2020.082192,0.987076941
03-02-2020,2020.090411,0.987506121
04-02-2020,2020.093151,0.989012532
05-02-2020,2020.09589,0.993009829
06-02-2020,2020.09863,0.999400158
07-02-2020,2020.10137,0.998703222
10-02-2020,2020.109589,0.999984901
11-02-2020,2020.112329,1.005649684
12-02-2020,2020.115068,1.009882493
13-02-2020,2020.117808,1.003144145
14-02-2020,2020.120548,0.996142414
18-02-2020,2020.131507,0.991303455
19-02-2020,2020.134247,0.989791773
20-02-2020,2020.136986,0.986995899
21-02-2020,2020.139726,0.978634961
24-02-2020,2020.147945,0.969956372
25-02-2020,2020.150685,0.986635649
26-02-2020,2020.153425,0.998492222
27-02-2020,2020.156164,0.992022414
28-02-2020,2020.158904,1.000695074
02-03-2020,2020.167123,0.984520127
03-03-2020,2020.169863,0.979931188
04-03-2020,2020.172603,0.979794598
05-03-2020,2020.175342,0.9819642
06-03-2020,2020.178082,0.97990935
09-03-2020,2020.186301,0.983310891
10-03-2020,2020.189041,0.980877914
11-03-2020,2020.191781,0.979618177
12-03-2020,2020.194521,0.975899261
13-03-2020,2020.19726,0.984672152
16-03-2020,2020.205479,0.979799331
17-03-2020,2020.208219,0.999155278
18-03-2020,2020.210959,1.021726784
19-03-2020,2020.213699,1.027744085
20-03-2020,2020.216438,1.03910049
23-03-2020,2020.224658,1.086666446
24-03-2020,2020.227397,1.051571601
25-03-2020,2020.230137,1.010247501
26-03-2020,2020.232877,1.016792414
27-03-2020,2020.235616,1.014146402
30-03-2020,2020.243836,1.021277696
31-03-2020,2020.246575,1.037228217
01-04-2020,2020.249315,1.040524762
02-04-2020,2020.252055,1.038464299
03-04-2020,2020.254795,1.04921872
06-04-2020,2020.263014,1.039446833
07-04-2020,2020.265753,1.039492872
08-04-2020,2020.268493,1.030861642
09-04-2020,2020.271233,1.017762902
13-04-2020,2020.282192,1.04797893
14-04-2020,2020.284932,1.061826727
15-04-2020,2020.287671,1.084057461
16-04-2020,2020.290411,1.105508019
17-04-2020,2020.293151,1.075637594
20-04-2020,2020.30137,1.088446868
21-04-2020,2020.30411,1.078366464
22-04-2020,2020.306849,1.084179068
23-04-2020,2020.309589,1.082069428
24-04-2020,2020.312329,1.087339012
27-04-2020,2020.320548,1.065457443
28-04-2020,2020.323288,1.043013774
29-04-2020,2020.326027,1.04201322
30-04-2020,2020.328767,1.057028915
01-05-2020,2020.331507,1.053123155
04-05-2020,2020.339726,1.06273013
05-05-2020,2020.342466,1.061517932
06-05-2020,2020.345205,1.06896545
07-05-2020,2020.347945,1.0667228
08-05-2020,2020.350685,1.074225884
11-05-2020,2020.358904,1.089261622
12-05-2020,2020.361644,1.092135126
13-05-2020,2020.364384,1.095519085
14-05-2020,2020.367123,1.091514932
15-05-2020,2020.369863,1.084772036
18-05-2020,2020.378082,1.067455175
19-05-2020,2020.380822,1.069185503
20-05-2020,2020.383562,1.072343359
21-05-2020,2020.386301,1.075415405
22-05-2020,2020.389041,1.078577662
26-05-2020,2020.4,1.058437888
27-05-2020,2020.40274,1.058407299
28-05-2020,2020.405479,1.051574383
29-05-2020,2020.408219,1.05970359
01-06-2020,2020.416438,1.058251421
02-06-2020,2020.419178,1.054622941
03-06-2020,2020.421918,1.049254967
04-06-2020,2020.424658,1.053581475
05-06-2020,2020.427397,1.039999516
08-06-2020,2020.435616,1.043853693
09-06-2020,2020.438356,1.058530779
10-06-2020,2020.441096,1.068512792
11-06-2020,2020.443836,1.076569045
12-06-2020,2020.446575,1.067998629
15-06-2020,2020.454795,1.070291881
16-06-2020,2020.457534,1.072815855
17-06-2020,2020.460274,1.071760959
18-06-2020,2020.463014,1.064282755
19-06-2020,2020.465753,1.074146364
22-06-2020,2020.473973,1.077166789
23-06-2020,2020.476712,1.073141478
24-06-2020,2020.479452,1.087717957
25-06-2020,2020.482192,1.076725148
26-06-2020,2020.484932,1.064674217
29-06-2020,2020.493151,1.067610257
30-06-2020,2020.49589,1.073533453
01-07-2020,2020.49863,1.070378397
02-07-2020,2020.50137,1.066270354
06-07-2020,2020.512329,1.078519482
07-07-2020,2020.515068,1.081725472
08-07-2020,2020.517808,1.086518723
09-07-2020,2020.520548,1.099405875
10-07-2020,2020.523288,1.095112096
13-07-2020,2020.531507,1.094146647
14-07-2020,2020.534247,1.088775065
15-07-2020,2020.536986,1.072375137
16-07-2020,2020.539726,1.075411362
17-07-2020,2020.542466,1.068608767
20-07-2020,2020.550685,1.080112811
21-07-2020,2020.553425,1.075361493
22-07-2020,2020.556164,1.067714632
23-07-2020,2020.558904,1.051304093
24-07-2020,2020.561644,1.05493774
27-07-2020,2020.569863,1.06617492
28-07-2020,2020.572603,1.056883528
29-07-2020,2020.575342,1.064571033
30-07-2020,2020.578082,1.076244917
31-07-2020,2020.580822,1.091939542
03-08-2020,2020.589041,1.097803618
04-08-2020,2020.591781,1.093261062
05-08-2020,2020.594521,1.079730743
06-08-2020,2020.59726,1.055055412
07-08-2020,2020.6,1.053958091
10-08-2020,2020.608219,1.062003134
11-08-2020,2020.610959,1.041161077
12-08-2020,2020.613699,1.05912407
13-08-2020,2020.616438,1.061393937
14-08-2020,2020.619178,1.065955691
17-08-2020,2020.627397,1.065826136
18-08-2020,2020.630137,1.07154275
19-08-2020,2020.632877,1.066083251
20-08-2020,2020.635616,1.072116099
21-08-2020,2020.638356,1.074747593
24-08-2020,2020.646575,1.071451937
25-08-2020,2020.649315,1.07580718
26-08-2020,2020.652055,1.095467337
27-08-2020,2020.654795,1.084896165
28-08-2020,2020.657534,1.077934993
31-08-2020,2020.665753,1.090850722
01-09-2020,2020.668493,1.097453168
02-09-2020,2020.671233,1.100555761
03-09-2020,2020.673973,1.086551599
04-09-2020,2020.676712,1.08886694
08-09-2020,2020.687671,1.069749901
09-09-2020,2020.690411,1.079170579
10-09-2020,2020.693151,1.073129948
11-09-2020,2020.69589,1.068721322
14-09-2020,2020.70411,1.061223913
15-09-2020,2020.706849,1.063375181
16-09-2020,2020.709589,1.053928024
17-09-2020,2020.712329,1.045240271
18-09-2020,2020.715068,1.041016802
21-09-2020,2020.723288,1.063345423
22-09-2020,2020.726027,1.066055057
23-09-2020,2020.728767,1.06194422
24-09-2020,2020.731507,1.07253013
25-09-2020,2020.734247,1.080176816
28-09-2020,2020.742466,1.080451925
29-09-2020,2020.745205,1.084549474
30-09-2020,2020.747945,1.076482326
01-10-2020,2020.750685,1.076748827
02-10-2020,2020.753425,1.060611314
05-10-2020,2020.761644,1.073064671
06-10-2020,2020.764384,1.0685958
07-10-2020,2020.767123,1.068149383
08-10-2020,2020.769863,1.067842748
09-10-2020,2020.772603,1.0624327
12-10-2020,2020.780822,1.081273262
13-10-2020,2020.783562,1.08711944
14-10-2020,2020.786301,1.089179441
15-10-2020,2020.789041,1.091013293
16-10-2020,2020.791781,1.089459957
19-10-2020,2020.8,1.096652143
20-10-2020,2020.80274,1.095249614
21-10-2020,2020.805479,1.111758997
22-10-2020,2020.808219,1.113856586
23-10-2020,2020.810959,1.117311574
26-10-2020,2020.819178,1.119190878
27-10-2020,2020.821918,1.13466523
28-10-2020,2020.824658,1.128022243
29-10-2020,2020.827397,1.142017577
30-10-2020,2020.830137,1.13554933
02-11-2020,2020.838356,1.125729025
03-11-2020,2020.841096,1.117084541
04-11-2020,2020.843836,1.131401449
05-11-2020,2020.846575,1.136850012
06-11-2020,2020.849315,1.137471514
09-11-2020,2020.857534,1.07732256
10-11-2020,2020.860274,1.066326877
11-11-2020,2020.863014,1.085509054
12-11-2020,2020.865753,1.091792289
13-11-2020,2020.868493,1.088738344
16-11-2020,2020.876712,1.087601151
17-11-2020,2020.879452,1.084936858
18-11-2020,2020.882192,1.087423838
19-11-2020,2020.884932,1.090989393
20-11-2020,2020.887671,1.097061991
23-11-2020,2020.89589,1.083343188
24-11-2020,2020.89863,1.076998037
25-11-2020,2020.90137,1.073702731
27-11-2020,2020.906849,1.084104938
30-11-2020,2020.915068,1.084246887
01-12-2020,2020.917808,1.09506087
02-12-2020,2020.920548,1.102312118
03-12-2020,2020.923288,1.106610747
04-12-2020,2020.926027,1.100208182
07-12-2020,2020.934247,1.100238598
08-12-2020,2020.936986,1.104411757
09-12-2020,2020.939726,1.100561827
10-12-2020,2020.942466,1.116169388
11-12-2020,2020.945205,1.116376666
14-12-2020,2020.953425,1.116534529
15-12-2020,2020.956164,1.122296232
16-12-2020,2020.958904,1.132002415
17-12-2020,2020.961644,1.11866594
18-12-2020,2020.964384,1.11598347
21-12-2020,2020.972603,1.129208144
22-12-2020,2020.975342,1.144344813
23-12-2020,2020.978082,1.141827115
24-12-2020,2020.980822,1.134607127
28-12-2020,2020.991781,1.139622266
29-12-2020,2020.994521,1.134373941
30-12-2020,2020.99726,1.123541272
31-12-2020,2021,1.121694172
04-01-2021,2021.008219,1.12385225
05-01-2021,2021.010959,1.134283906
06-01-2021,2021.013699,1.114464126
07-01-2021,2021.016438,1.133844772
08-01-2021,2021.019178,1.131753573
11-01-2021,2021.027397,1.135145775
12-01-2021,2021.030137,1.140142751
13-01-2021,2021.032877,1.145866926
14-01-2021,2021.035616,1.164686959
15-01-2021,2021.038356,1.160682791
19-01-2021,2021.049315,1.172059972
20-01-2021,2021.052055,1.173921145
21-01-2021,2021.054795,1.184083114
22-01-2021,2021.057534,1.18121724
25-01-2021,2021.065753,1.185133751
26-01-2021,2021.068493,1.180662911
27-01-2021,2021.071233,1.165457685
28-01-2021,2021.073973,1.178089712
29-01-2021,2021.076712,1.174733872
01-02-2021,2021.084932,1.185870475
02-02-2021,2021.087671,1.187186143
03-02-2021,2021.090411,1.198789832
04-02-2021,2021.093151,1.1925571
05-02-2021,2021.09589,1.194477169
08-02-2021,2021.10411,1.199350252
09-02-2021,2021.106849,1.193586102
10-02-2021,2021.109589,1.19902158
11-02-2021,2021.112329,1.201582237
12-02-2021,2021.115068,1.202870538
16-02-2021,2021.126027,1.207293199
17-02-2021,2021.128767,1.200532217
18-02-2021,2021.131507,1.196150915
19-02-2021,2021.134247,1.197788757
22-02-2021,2021.142466,1.171799575
23-02-2021,2021.145205,1.162313169
24-02-2021,2021.147945,1.151443802
25-02-2021,2021.150685,1.139580963
26-02-2021,2021.153425,1.149981765
01-03-2021,2021.161644,1.153094906
02-03-2021,2021.164384,1.126225709
03-03-2021,2021.167123,1.122846186
04-03-2021,2021.169863,1.126138866
05-03-2021,2021.172603,1.127985498
08-03-2021,2021.180822,1.084379937
09-03-2021,2021.183562,1.107439821
10-03-2021,2021.186301,1.094578834
11-03-2021,2021.189041,1.107322588
12-03-2021,2021.191781,1.097915344
15-03-2021,2021.2,1.103257118
16-03-2021,2021.20274,1.113099572
17-03-2021,2021.205479,1.119013318
18-03-2021,2021.208219,1.104228269
19-03-2021,2021.210959,1.130050267
22-03-2021,2021.219178,1.145908149
23-03-2021,2021.221918,1.150020964
24-03-2021,2021.224658,1.133540689
25-03-2021,2021.227397,1.129288713
26-03-2021,2021.230137,1.138867368
29-03-2021,2021.238356,1.145189113
30-03-2021,2021.241096,1.145229499
31-03-2021,2021.243836,1.162828206
01-04-2021,2021.246575,1.17119802
05-04-2021,2021.257534,1.184625006
06-04-2021,2021.260274,1.180703571
07-04-2021,2021.263014,1.188525782
08-04-2021,2021.265753,1.193659675
09-04-2021,2021.268493,1.193558704
12-04-2021,2021.276712,1.189740709
13-04-2021,2021.279452,1.198344497
14-04-2021,2021.282192,1.185810999
15-04-2021,2021.284932,1.189689158
16-04-2021,2021.287671,1.187526705
19-04-2021,2021.29589,1.182488471
20-04-2021,2021.29863,1.185514932
